оз. Залешно	оз. Залешно
оз. Замошье	оз. Замошье
оз. Заозерское	оз. Заозерское
оз. Запецкое	оз. Запецкое
оз. Запортово	оз. Запортово
оз. Заслистинок	оз. Заслистинок
оз. Захбейка	оз. Захбейка
оз. Звонково	оз. Звонково
оз. Зеленец	оз. Зеленец
оз. Зелёное	оз. Зелёное
оз. Зеленское	оз. Зеленское
оз. Зосино	оз. Зосино
оз. Ивесь	оз. Ивесь
оз. Иказнь	оз. Иказнь
оз. Ильменек	оз. Ильменек
оз. Иново	оз. Иново
оз. Искровское	оз. Искровское
оз. Исса	оз. Исса
оз.Казенное	оз.Казенное
оз. Какисино	оз. Какисино
оз. Каменка	оз. Каменка
оз. Каресино	оз. Каресино
оз. Карпово	оз. Карпово
оз. Ким	оз. Ким
оз.Кичино	оз.Кичино
оз. Климовское	оз. Климовское
оз. Княгининское	оз. Княгининское
оз. Козье	оз. Козье
оз. Колесино	оз. Колесино
оз. Колодезь	оз. Колодезь
оз. Колодно	оз. Колодно
оз. Коломерка	оз. Коломерка
оз. Колпино	оз. Колпино
оз. Кополовище	оз. Кополовище
оз. Костовье	оз. Костовье
оз. Котовское	оз. Котовское
оз. Кошелки	оз. Кошелки
оз. Кошо	оз. Кошо
оз. Краснец	оз. Краснец
оз. Краснодворское	оз. Краснодворское
оз. Красное	оз. Красное
оз. Красное Очко	оз. Красное Очко
оз. Кривое	оз. Кривое
оз. Круглик	оз. Круглик
оз. Круглое	оз. Круглое
оз. Круглянское	оз. Круглянское
оз. Крупчино	оз. Крупчино
оз. Крыльцово	оз. Крыльцово
оз. Кузьмино	оз. Кузьмино
оз. Кузьмичи	оз. Кузьмичи
оз. Кулек	оз. Кулек
оз. Куликовское	оз. Куликовское
оз. Куровщина	оз. Куровщина
оз. Латковское	оз. Латковское
оз. Лебедевка	оз. Лебедевка
оз. Лезвинка	оз. Лезвинка
оз. Леновец	оз. Леновец
оз. Лепельское	оз. Лепельское
оз. Лесковичи	оз. Лесковичи
оз. Лётцы	оз. Лётцы
оз. Лешно	оз. Лешно
оз. Линец	оз. Линец
оз. Линко	оз. Линко
оз. Линное	оз. Линное
оз. Липки	оз. Липки
оз. Липно	оз. Липно
оз. Лосвидо	оз. Лосвидо
оз. Луговое	оз. Луговое
оз. Луженец	оз. Луженец
оз. Луковское	оз. Луковское
оз. Лутово	оз. Лутово
оз. Любжинское	оз. Любжинское
оз. Любицино	оз. Любицино
оз. Людвище	оз. Людвище
оз. Люкшино	оз. Люкшино
оз. Лядно	оз. Лядно
оз. Макаровское	оз. Макаровское
оз. Макачи	оз. Макачи
оз. Макеенское	оз. Макеенское
оз. Малое Белое	оз. Малое Белое
оз. Малое Городно	оз. Малое Городно
оз. Малое Островито	оз. Малое Островито
оз. Малое Тоболы	оз. Малое Тоболы
оз. Малое Черново	оз. Малое Черново
оз. Маслицкое	оз. Маслицкое
оз. Медесно	оз. Медесно
оз. Межа	оз. Межа
оз. Мелкое	оз. Мелкое
оз. Мено	оз. Мено
оз. Минтуровское	оз. Минтуровское
оз. Млынок	оз. Млынок
оз. Млычино	оз. Млычино
оз. Молено	оз. Молено
оз. Моратно	оз. Моратно
оз. Мошно	оз. Мошно
оз. Мугирино	оз. Мугирино
оз. Мурожницкое	оз. Мурожницкое
оз. Мухавецкое	оз. Мухавецкое
оз. Мухно	оз. Мухно
оз. Мядель	оз. Мядель
оз. Мястро	оз. Мястро
оз. Навлицкое	оз. Навлицкое
оз. Нарочь	оз. Нарочь
оз.Негро	оз.Негро
оз. Недрово	оз. Недрово
оз. Неколочь	оз. Неколочь
оз. Немельчик	оз. Немельчик
оз. Немцево	оз. Немцево
оз. Несино	оз. Несино
оз. Нещердо	оз. Нещердо
оз. Нобисто	оз. Нобисто
оз.Новинское	оз.Новинское
оз. Нюля	оз. Нюля
оз. Огзино	оз. Огзино
оз. Ольшанка	оз. Ольшанка
оз. Ордышево	оз. Ордышево
оз. Ореховно	оз. Ореховно
оз. Ореховое	оз. Ореховое
оз. Ореховское	оз. Ореховское
оз. Оршино	оз. Оршино
оз. Осинное	оз. Осинное
оз. Осиновское	оз. Осиновское
оз. Осмота	оз. Осмота
оз. Осотно	оз. Осотно
оз. Остравито	оз. Остравито
оз. Островенское	оз. Островенское
оз. Островито	оз. Островито
оз. Островки	оз. Островки
оз. Островно	оз. Островно
оз.Осушное	оз.Осушное
оз. Отолово	оз. Отолово
оз. Отрепки	оз. Отрепки
оз. Паульское	оз. Паульское
оз. Первищенское	оз. Первищенское
оз. Первое	оз. Первое
оз. Переволочно	оз. Переволочно
оз. Петкуны	оз. Петкуны
оз. Плав	оз. Плав
оз. Платично	оз. Платично
оз. Платишно	оз. Платишно
оз. Плесно	оз. Плесно
оз. Плотишно	оз. Плотишно
оз. Плутинок	оз. Плутинок
оз. Погоща	оз. Погоща
оз. Подситишки	оз. Подситишки
оз. Подшапье	оз. Подшапье
оз. Подявы	оз. Подявы
оз. Полозерье	оз. Полозерье
оз. Полонец	оз. Полонец
оз. Полонское	оз. Полонское
оз. Поцех	оз. Поцех
оз. Пренц	оз. Пренц
оз. Проводы	оз. Проводы
оз. Проскурно	оз. Проскурно
оз. Прудок	оз. Прудок
оз. Псуя	оз. Псуя
оз. Разван	оз. Разван
оз. Рака	оз. Рака
оз. Ракутино	оз. Ракутино
оз. Расно	оз. Расно
оз.Рассохое	оз.Рассохое
оз. Ристунец	оз. Ристунец
оз. Роговское	оз. Роговское
оз. Ромашково	оз. Ромашково
оз. Росохи	оз. Росохи
оз. Россоно	оз. Россоно
оз. Руденок	оз. Руденок
оз. Руденькие	оз. Руденькие
оз. Рукшанское	оз. Рукшанское
оз. Рытовно	оз. Рытовно
оз. Свидно	оз. Свидно
оз. Свино	оз. Свино
оз.Святое	оз.Святое
оз. Святое	оз. Святое
оз. Селяево	оз. Селяево
оз. Сенно	оз. Сенно
оз. Сергеевичи	оз. Сергеевичи
оз. Серокоротня	оз. Серокоротня
оз. Синьша	оз. Синьша
оз.Сита	оз.Сита
оз. Ситно	оз. Ситно
оз.Ситнянское	оз.Ситнянское
оз.Скрыдлево	оз.Скрыдлево
оз. Снуды	оз. Снуды
оз. Солонец	оз. Солонец
оз. Соро	оз. Соро
оз. Сосенка	оз. Сосенка
оз. Сосна	оз. Сосна
оз. Сосно	оз. Сосно
оз. Сосновское	оз. Сосновское
оз. Стержень	оз. Стержень
оз. Стерник	оз. Стерник
оз. Стречно	оз. Стречно
оз.Стрешно	оз.Стрешно
оз. Струсто	оз. Струсто
оз. Сукременское	оз. Сукременское
оз. Сушино	оз. Сушино
оз. Танай	оз. Танай
оз. Теменица	оз. Теменица
оз. Теребетовское	оз. Теребетовское
оз. Толыни	оз. Толыни
оз. Третье	оз. Третье
оз. Тулово	оз. Тулово
оз. Турец	оз. Турец
оз. Турмуз	оз. Турмуз
оз. Туроссы	оз. Туроссы
оз. Тухинское	оз. Тухинское
оз. Удебно	оз. Удебно
оз. Ужо	оз. Ужо
оз. Уклеино	оз. Уклеино
оз. Укля	оз. Укля
оз. Улазовичское	оз. Улазовичское
оз. Умильно	оз. Умильно
оз. Усая	оз. Усая
оз. Утянское	оз. Утянское
оз. Хвойня	оз. Хвойня
оз. Ходцы	оз. Ходцы
оз. Хотино	оз. Хотино
оз. Хотинское	оз. Хотинское
оз. Цно	оз. Цно
оз. Цыганово	оз. Цыганово
оз. Чарнуик	оз. Чарнуик
оз. Чербомысло	оз. Чербомысло
оз. Чёрненькое	оз. Чёрненькое
оз. Черница	оз. Черница
оз. Черновка	оз. Черновка
оз. Черново	оз. Черново
оз. Чёрное	оз. Чёрное
оз. Чёрное Болото	оз. Чёрное Болото
оз. Черосово	оз. Черосово
оз. Черствятское	оз. Черствятское
оз. Чёртово	оз. Чёртово
оз. Чистик	оз. Чистик
оз. Шевино	оз. Шевино
оз.Шелохово	оз.Шелохово
оз. Шо	оз. Шо
оз. Щербаковское	оз. Щербаковское
оз. Щибот	оз. Щибот
оз.Яновичское	оз.Яновичское
озеро "Святое"	озеро "Святое"
озеро "Шаманка"	озеро "Шаманка"
озеро Азаренское	озеро Азаренское
озеро Азароново	озеро Азароново
озеро Азерцы	озеро Азерцы
озеро Аксеново	озеро Аксеново
озеро Алашское	озеро Алашское
озеро Алоизберг	озеро Алоизберг
озеро Белое	озеро Белое
озеро Богушеввича	озеро Богушеввича
озеро Вир	озеро Вир
озеро Гута	озеро Гута
озеро Езерище	озеро Езерище
озеро Заболотье	озеро Заболотье
озеро Крапивное	озеро Крапивное
озеро Красное	озеро Красное
озеро Кут	озеро Кут
озеро Лань	озеро Лань
озеро Лисно	озеро Лисно
озеро Молодежное	озеро Молодежное
озеро Молокозаводское	озеро Молокозаводское
озеро Мох	озеро Мох
Озеро на Репина	Озеро на Репина
озеро Обабье	озеро Обабье
озеро Обида	озеро Обида
озеро Оболе	озеро Оболе
озеро Образцы	озеро Образцы
озеро Обстерно	озеро Обстерно
озеро Обуховское	озеро Обуховское
озеро Ожехово	озеро Ожехово
озеро Озерайце	озеро Озерайце
озеро Озерки	озеро Озерки
озеро Озерко	озеро Озерко
озеро Окнистое	озеро Окнистое
озеро Окно	озеро Окно
озеро Окуневец	озеро Окуневец
озеро Окунево	озеро Окунево
озеро Окуневчик	озеро Окуневчик
озеро Окунец	озеро Окунец
озеро Окунино	озеро Окунино
озеро Окунь	озеро Окунь
озеро Ордово	озеро Ордово
озеро Отводы	озеро Отводы
Озеро Патрика	Озеро Патрика
озеро Рудники	озеро Рудники
озеро Святое	озеро Святое
озеро Семиховичи	озеро Семиховичи
озеро Сенница	озеро Сенница
озеро Стаи	озеро Стаи
озеро Тайное	озеро Тайное
озеро Худовец	озеро Худовец
озеро Черное	озеро Черное
озеро Чистая Лужа	озеро Чистая Лужа
озеро Юбилейное	озеро Юбилейное
Озерянское озеро	Озерянское озеро
Опита	Опита
Освейское озеро	Освейское озеро
Печерское озеро	Печерское озеро
Погост	Погост
Пожарный водоём	Пожарный водоём
Полоневичи	Полоневичи
Поставское озеро	Поставское озеро
Пружанское озеро	Пружанское озеро
Рыбница	Рыбница
Савек	Савек
Святое	Святое
Святцо	Святцо
Селява	Селява
Синяя лужа	Синяя лужа
Сипурка	Сипурка
Скорень	Скорень
Слободское	Слободское
Старое	Старое
старое возера	старое возера
Стоячее	Стоячее
Сырское озеро	Сырское озеро
Тростяница	Тростяница
Тростяное	Тростяное
Холодчие	Холодчие
Холостятское	Холостятское
Чарне	Чарне
Червоное озеро	Червоное озеро
Чёрное	Чёрное
Чёртово озеро	Чёртово озеро
Яглевичичское озеро	Яглевичичское озеро
